instr_done_touch.x,instr_done_touch.y,instr_done_touch.leftButton,instr_done_touch.midButton,instr_done_touch.rightButton,instr_done_touch.clicked_name,instruct_pages.thisRepN,instruct_pages.thisTrialN,instruct_pages.thisN,instruct_pages.thisIndex,instruct_pages.ran,pageN,instruct_text,participant,order,session,gender,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.corr,touch_resp.x,touch_resp.y,touch_resp.leftButton,touch_resp.midButton,touch_resp.rightButton,touch_resp.time,touch_resp.clicked_name,rt,corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimImage,stimWord,CorrAns,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,blocks.ran,conds_file,label_left,label_right,blocks.order,trials.order
,,,,,,,,,,,,,SDS ,1,001,male,2022-07-18_18h18.18.363,openIAT,2020.1.0rc3,Win32,60,,0,0.341520705,-0.252647124,1,0,0,0.1451,button_right,0.1451,1,0,1,1,15,1,stimuli/blank.png,Agony,l,,,,,,,,,,
,,,,,,,,,,,,,SDS ,1,001,male,2022-07-18_18h18.18.363,openIAT,2020.1.0rc3,Win32,60,,0,0.341520705,-0.252647124,1,0,0,0.229,button_right,0.229,1,0,2,2,4,1,stimuli/black_3.jpg,NaN,l,,,,,,,,,,
,,,,,,,,,,,,,SDS ,1,001,male,2022-07-18_18h18.18.363,openIAT,2020.1.0rc3,Win32,60,,0,0.329485644,-0.238760646,1,0,0,0.5395,button_right,0.5395,0,0,3,3,3,1,stimuli/white_2.jpg,NaN,a,,,,,,,,,,
,,,,,,,,,,,,,SDS ,1,001,male,2022-07-18_18h18.18.363,openIAT,2020.1.0rc3,Win32,60,,0,0.329485644,-0.238760646,1,0,0,0.2206,button_right,0.2206,1,0,4,4,17,1,stimuli/blank.png,Evil,l,,,,,,,,,,
,,,,,,,,,,,,,SDS ,1,001,male,2022-07-18_18h18.18.363,openIAT,2020.1.0rc3,Win32,60,,0,0.329485644,-0.238760646,1,0,0,0.2212,button_right,0.2212,1,0,5,5,2,1,stimuli/black_2.jpg,NaN,l,,,,,,,,,,
,,,,,,,,,,,,,SDS ,1,001,male,2022-07-18_18h18.18.363,openIAT,2020.1.0rc3,Win32,60,,0,0.329485644,-0.238760646,1,0,0,0.2821,button_right,0.2821,1,0,6,6,11,1,stimuli/blank.png,Bad,l,,,,,,,,,,
,,,,,,,,,,,,,SDS ,1,001,male,2022-07-18_18h18.18.363,openIAT,2020.1.0rc3,Win32,60,,0,0.329485644,-0.238760646,1,0,0,0.026,button_right,0.026,0,0,7,7,12,1,stimuli/blank.png,Happy,a,,,,,,,,,,
,,,,,,,,,,,,,SDS ,1,001,male,2022-07-18_18h18.18.363,openIAT,2020.1.0rc3,Win32,60,,0,0.329485644,-0.238760646,1,0,0,0.1025,button_right,0.1025,0,0,8,8,10,1,stimuli/blank.png,Good,a,,,,,,,,,,
,,,,,,,,,,,,,SDS ,1,001,male,2022-07-18_18h18.18.363,openIAT,2020.1.0rc3,Win32,60,,0,0.329485644,-0.238760646,1,0,0,0.0896,button_right,0.0896,0,0,9,9,16,1,stimuli/blank.png,Love,a,,,,,,,,,,
,,,,,,,,,,,,,SDS ,1,001,male,2022-07-18_18h18.18.363,openIAT,2020.1.0rc3,Win32,60,,0,0.329485644,-0.238760646,1,0,0,0.0841,button_right,0.0841,1,0,10,10,6,1,stimuli/black_4.jpg,NaN,l,,,,,,,,,,
,,,,,,,,,,,,,SDS ,1,001,male,2022-07-18_18h18.18.363,openIAT,2020.1.0rc3,Win32,60,,0,0.329485644,-0.238760646,1,0,0,0.219,button_right,0.219,0,0,11,11,1,1,stimuli/white_1.jpg,NaN,a,,,,,,,,,,
,,,,,,,,,,,,,SDS ,1,001,male,2022-07-18_18h18.18.363,openIAT,2020.1.0rc3,Win32,60,,0,0.152675172,-0.084564871,1,0,0,1.3635,button_right,1.3635,0,0,12,12,5,1,stimuli/white_3.jpg,NaN,a,,,,,,,,,,
,,,,,,,,,,,,,SDS ,1,001,male,2022-07-18_18h18.18.363,openIAT,2020.1.0rc3,Win32,60,,0,0.140633574,-0.254241941,1,0,0,2.4085,button_left,2.4085,1,1,0,20,14,1,stimuli/blank.png,Pleasure,a,1,0,5,4,1,incong_test.xlsx,"A = 
Black or 
Positive","L = 
White or 
Negative",4,19
